"ENSEMBL","SYMBOL","GENENAME","ENTREZID","CHR"
"ENSMUSG00000030359","Pzp","PZP, alpha-2-macroglobulin like","11287","6"
"ENSMUSG00000020804","Aanat","arylalkylamine N-acetyltransferase","11298","11"
"ENSMUSG00000025375","Aatk","apoptosis-associated tyrosine kinase","11302","11"
"ENSMUSG00000015243","Abca1","ATP-binding cassette, sub-family A member 1","11303","4"
"ENSMUSG00000028125","Abca4","ATP-binding cassette, sub-family A member 4","11304","3"
"ENSMUSG00000026944","Abca2","ATP-binding cassette, sub-family A member 2","11305","2"
"ENSMUSG00000031333","Abcb7","ATP-binding cassette, sub-family B member 7","11306","X"
"ENSMUSG00000024030","Abcg1","ATP binding cassette subfamily G member 1","11307","17"
"ENSMUSG00000058835","Abi1","abl interactor 1","11308","2"
"ENSMUSG00000026842","Abl1","c-abl oncogene 1, non-receptor tyrosine kinase","11350","2"
"ENSMUSG00000026596","Abl2","ABL proto-oncogene 2, non-receptor tyrosine kinase","11352","1"
"ENSMUSG00000066583","Scgb1b27","secretoglobin, family 1B, member 27","11354","7"
"ENSMUSG00000026003","Acadl","acyl-Coenzyme A dehydrogenase, long-chain","11363","1"
"ENSMUSG00000062908","Acadm","acyl-Coenzyme A dehydrogenase, medium chain","11364","3"
"ENSMUSG00000018574","Acadvl","acyl-Coenzyme A dehydrogenase, very long chain","11370","11"
"ENSMUSG00000029545","Acads","acyl-Coenzyme A dehydrogenase, short chain","11409","5"
"ENSMUSG00000027822","Slc33a1","solute carrier family 33 (acetyl-CoA transporter), member 1","11416","3"
"ENSMUSG00000020704","Asic2","acid-sensing ion channel 2","11418","11"
"ENSMUSG00000023017","Asic1","acid-sensing ion channel 1","11419","15"
"ENSMUSG00000020681","Ace","angiotensin I converting enzyme","11421","11"
"ENSMUSG00000023328","Ache","acetylcholinesterase","11423","5"
"ENSMUSG00000074336","Apoc4","apolipoprotein C-IV","11425","7"
"ENSMUSG00000028649","Macf1","microtubule-actin crosslinking factor 1","11426","4"
"ENSMUSG00000028405","Aco1","aconitase 1","11428","4"
"ENSMUSG00000022477","Aco2","aconitase 2, mitochondrial","11429","15"
"ENSMUSG00000020777","Acox1","acyl-Coenzyme A oxidase 1, palmitoyl","11430","11"
"ENSMUSG00000044573","Acp1","acid phosphatase 1, soluble","11431","12"
"ENSMUSG00000002103","Acp2","acid phosphatase 2, lysosomal","11432","2"
"ENSMUSG00000001348","Acp5","acid phosphatase 5, tartrate resistant","11433","9"
"ENSMUSG00000022622","Acr","acrosin prepropeptide","11434","15"
"ENSMUSG00000027107","Chrna1","cholinergic receptor nicotinic alpha 1 subunit","11435","2"
"ENSMUSG00000027577","Chrna4","cholinergic receptor, nicotinic, alpha polypeptide 4","11438","2"
"ENSMUSG00000031491","Chrna6","cholinergic receptor, nicotinic, alpha polypeptide 6","11440","8"
"ENSMUSG00000030525","Chrna7","cholinergic receptor, nicotinic, alpha polypeptide 7","11441","7"
"ENSMUSG00000041189","Chrnb1","cholinergic receptor nicotinic beta 1 subunit","11443","11"
"ENSMUSG00000027950","Chrnb2","cholinergic receptor nicotinic beta 2 subunit","11444","3"
"ENSMUSG00000026251","Chrnd","cholinergic receptor, nicotinic, delta polypeptide","11447","1"
"ENSMUSG00000014609","Chrne","cholinergic receptor, nicotinic, epsilon polypeptide","11448","11"
"ENSMUSG00000026253","Chrng","cholinergic receptor, nicotinic, gamma polypeptide","11449","1"
"ENSMUSG00000022878","Adipoq","adiponectin, C1Q and collagen domain containing","11450","16"
"ENSMUSG00000032110","Acrv1","acrosomal vesicle protein 1","11451","9"
"ENSMUSG00000031972","Acta1","actin alpha 1, skeletal muscle","11459","8"
"ENSMUSG00000029580","Actb","actin, beta","11461","5"
"ENSMUSG00000068614","Actc1","actin, alpha, cardiac muscle 1","11464","2"
"ENSMUSG00000062825","Actg1","actin, gamma, cytoplasmic 1","11465","11"
"ENSMUSG00000059430","Actg2","actin, gamma 2, smooth muscle, enteric","11468","6"
"ENSMUSG00000070979","Actl7a","actin-like 7a","11470","4"
"ENSMUSG00000070980","Actl7b","actin-like 7b","11471","4"
"ENSMUSG00000052374","Actn2","actinin alpha 2","11472","13"
"ENSMUSG00000006457","Actn3","actinin alpha 3","11474","19"
"ENSMUSG00000035783","Acta2","actin alpha 2, smooth muscle, aorta","11475","19"
"ENSMUSG00000026836","Acvr1","activin A receptor, type 1","11477","2"
"ENSMUSG00000000532","Acvr1b","activin A receptor, type 1B","11479","15"
"ENSMUSG00000052155","Acvr2a","activin receptor IIA","11480","2"
"ENSMUSG00000061393","Acvr2b","activin receptor IIB","11481","9"
"ENSMUSG00000000530","Acvrl1","activin A receptor, type II-like 1","11482","15"
"ENSMUSG00000020774","Aspa","aspartoacylase","11484","11"
"ENSMUSG00000017697","Ada","adenosine deaminase","11486","2"
"ENSMUSG00000054693","Adam10","a disintegrin and metallopeptidase domain 10","11487","9"
"ENSMUSG00000020926","Adam11","a disintegrin and metallopeptidase domain 11","11488","11"
"ENSMUSG00000054555","Adam12","ADAM metallopeptidase domain 12","11489","7"
"ENSMUSG00000028041","Adam15","ADAM metallopeptidase domain 15","11490","3"
"ENSMUSG00000052593","Adam17","a disintegrin and metallopeptidase domain 17","11491","12"
"ENSMUSG00000011256","Adam19","ADAM metallopeptidase domain 19","11492","11"
"ENSMUSG00000022039","Adam2","a disintegrin and metallopeptidase domain 2","11495","14"
"ENSMUSG00000040537","Adam22","a disintegrin and metallopeptidase domain 22","11496","5"
"ENSMUSG00000031553","Adam3","ADAM metallopeptidase domain 3","11497","8"
"ENSMUSG00000072972","Adam4","a disintegrin and metallopeptidase domain 4","11498","12"
"ENSMUSG00000031554","Adam5","a disintegrin and metallopeptidase domain 5","11499","8"
"ENSMUSG00000022056","Adam7","a disintegrin and metallopeptidase domain 7","11500","14"
"ENSMUSG00000025473","Adam8","a disintegrin and metallopeptidase domain 8","11501","7"
"ENSMUSG00000031555","Adam9","ADAM metallopeptidase domain 9","11502","8"
"ENSMUSG00000022893","Adamts1","ADAM metallopeptidase with thrombospondin type 1 motif 1","11504","16"
"ENSMUSG00000022994","Adcy6","adenylate cyclase 6","11512","15"
"ENSMUSG00000031659","Adcy7","adenylate cyclase 7","11513","8"
"ENSMUSG00000022376","Adcy8","adenylate cyclase 8","11514","15"
"ENSMUSG00000005580","Adcy9","adenylate cyclase 9","11515","16"
"ENSMUSG00000024256","Adcyap1","adenylate cyclase activating polypeptide 1","11516","17"
"ENSMUSG00000029778","Adcyap1r1","adenylate cyclase activating polypeptide 1 receptor 1","11517","6"
"ENSMUSG00000029106","Add1","adducin 1","11518","5"
"ENSMUSG00000030000","Add2","adducin 2","11519","6"
"ENSMUSG00000028494","Plin2","perilipin 2","11520","4"
"ENSMUSG00000074207","Adh1","alcohol dehydrogenase 1 (class I)","11522","3"
"ENSMUSG00000055301","Adh7","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide","11529","3"
"ENSMUSG00000028138","Adh5","alcohol dehydrogenase 5 (class III), chi polypeptide","11532","3"
"ENSMUSG00000039197","Adk","adenosine kinase","11534","14"
"ENSMUSG00000030790","Adm","adrenomedullin","11535","7"
"ENSMUSG00000058396","Gpr182","G protein-coupled receptor 182","11536","10"
"ENSMUSG00000061780","Cfd","complement factor D","11537","10"
"ENSMUSG00000051149","Adnp","activity-dependent neuroprotective protein","11538","2"
"ENSMUSG00000042429","Adora1","adenosine A1 receptor","11539","1"
"ENSMUSG00000020178","Adora2a","adenosine A2a receptor","11540","10"
"ENSMUSG00000018500","Adora2b","adenosine A2b receptor","11541","11"
"ENSMUSG00000000562","Adora3","adenosine A3 receptor","11542","3"
"ENSMUSG00000002844","Adprh","ADP-ribosylarginine hydrolase","11544","16"
"ENSMUSG00000026496","Parp1","poly (ADP-ribose) polymerase family, member 1","11545","1"
"ENSMUSG00000036023","Parp2","poly (ADP-ribose) polymerase family, member 2","11546","14"
"ENSMUSG00000050541","Adra1b","adrenergic receptor, alpha 1b","11548","11"
"ENSMUSG00000045875","Adra1a","adrenergic receptor, alpha 1a","11549","14"
"ENSMUSG00000027335","Adra1d","adrenergic receptor, alpha 1d","11550","2"
"ENSMUSG00000033717","Adra2a","adrenergic receptor, alpha 2a","11551","19"
"ENSMUSG00000058620","Adra2b","adrenergic receptor, alpha 2b","11552","2"
"ENSMUSG00000045318","Adra2c","adrenergic receptor, alpha 2c","11553","5"
"ENSMUSG00000035283","Adrb1","adrenergic receptor, beta 1","11554","19"
"ENSMUSG00000045730","Adrb2","adrenergic receptor, beta 2","11555","18"
"ENSMUSG00000031489","Adrb3","adrenergic receptor, beta 3","11556","8"
"ENSMUSG00000022407","Adsl","adenylosuccinate lyase","11564","15"
"ENSMUSG00000011148","Adss1","adenylosuccinate synthase 1","11565","12"
"ENSMUSG00000015961","Adss2","adenylosuccinate synthase 2","11566","1"
"ENSMUSG00000025432","Avil","advillin","11567","10"
"ENSMUSG00000020473","Aebp1","AE binding protein 1","11568","11"
"ENSMUSG00000030232","Aebp2","AE binding protein 2","11569","6"
"ENSMUSG00000025431","Crisp1","cysteine-rich secretory protein 1","11571","17"
"ENSMUSG00000025433","Crisp3","cysteine-rich secretory protein 3","11572","17"
"ENSMUSG00000054932","Afp","alpha fetoprotein","11576","5"
"ENSMUSG00000031521","Aga","aspartylglucosaminidase","11593","8"
"ENSMUSG00000030607","Acan","aggrecan","11595","7"
"ENSMUSG00000015452","Ager","advanced glycosylation end product-specific receptor","11596","17"
"ENSMUSG00000022309","Angpt1","angiopoietin 1","11600","15"
"ENSMUSG00000031465","Angpt2","angiopoietin 2","11601","8"
